Generation,Avg. fitness,Best fitness,Peak fitness,Hp contacts,Overlaps,Mutation rate
499,8.661622104269625,31.0,31.0,31,0,2739
500,8.539685248158905,31.0,31.0,31,0,2742
501,8.512569871347367,29.0,31.0,29,0,2745
502,8.244010556400166,29.0,31.0,29,0,2742
503,8.014393169825512,29.0,31.0,29,0,2760
504,8.384461335509961,31.0,31.0,31,0,2763
505,8.356284668626438,28.0,31.0,28,0,2767
506,8.52847823003538,29.0,31.0,29,0,2743
507,8.49488515434813,29.0,31.0,29,0,2722
508,8.667901352140278,29.0,31.0,29,0,2714
509,8.129830079474544,29.0,31.0,29,0,2731
510,8.302526415956969,30.0,31.0,30,0,2736
511,8.620214641797492,29.0,31.0,29,0,2709
512,8.398837213395833,29.0,31.0,29,0,2751
513,8.42373918450522,29.0,31.0,29,0,2766
514,8.220495946400316,29.0,31.0,29,0,2784
515,7.9699422676028435,29.0,31.0,29,0,2805
516,8.03846537340946,29.0,31.0,29,0,2823
517,8.218609570268264,29.0,31.0,29,0,2839
518,7.879984666432531,29.0,31.0,29,0,2858
519,7.987649263249091,29.0,31.0,29,0,2876
520,8.267264101143853,29.0,31.0,29,0,2852
521,8.106198770413272,29.0,31.0,29,0,2833
522,7.957986969684714,29.0,31.0,29,0,2867
523,7.959889244481066,29.0,31.0,29,0,2888
524,8.320197703092552,29.0,31.0,29,0,2900
525,7.863717926997501,29.0,31.0,29,0,2884
526,7.5380327704736905,29.0,31.0,29,0,2868
527,7.870880676659794,29.0,31.0,29,0,2822
528,7.840456787202584,29.0,31.0,29,0,2818
529,7.764333544393213,30.0,31.0,30,0,2825
530,7.872152014495034,27.0,31.0,27,0,2822
531,7.617378278033974,27.0,31.0,27,0,2781
532,8.086068022613787,28.0,31.0,28,0,2778
533,7.93863399081635,28.0,31.0,28,0,2727
534,8.137911135763487,29.0,31.0,29,0,2732
535,8.139177456477917,29.0,31.0,29,0,2702
536,8.382300149080493,29.0,31.0,29,0,2684
537,8.339473144135534,29.0,31.0,29,0,2670
538,8.400639206664788,27.0,31.0,27,0,2668
539,8.428052693608594,28.0,31.0,28,0,2670
540,7.934229185866906,28.0,31.0,28,0,2695
541,8.00728312246195,28.0,31.0,28,0,2719
542,8.246899438096152,29.0,31.0,29,0,2713
543,8.277403604080943,28.0,31.0,28,0,2709
544,8.171145982464825,29.0,31.0,29,0,2737
545,7.85650583355521,29.0,31.0,29,0,2738
546,7.82212000267339,29.0,31.0,29,0,2727
547,8.258705256013357,29.0,31.0,29,0,2718
548,8.10731565646337,28.0,31.0,28,0,2704
549,7.782088913523631,28.0,31.0,28,0,2726
