Generation,Avg. fitness,Best fitness,Peak fitness,Hp contacts,Overlaps,Mutation rate
1427,7.68129511424172,31.0,33.0,31,0,2840
1428,7.64442566724502,32.0,33.0,32,0,2870
1429,7.725214437897304,32.0,33.0,32,0,2851
1430,7.784274247646384,30.0,33.0,30,0,2841
1431,7.612276934374716,29.0,33.0,29,0,2813
1432,7.615177813344567,28.0,33.0,28,0,2778
1433,7.916511178208833,29.0,33.0,29,0,2731
1434,7.789330825478972,29.0,33.0,29,0,2717
1435,8.030396148317825,33.0,33.0,33,0,2724
1436,8.176185466015662,30.0,33.0,30,0,2722
1437,8.44146109681819,33.0,33.0,33,0,2686
1438,8.04301343419154,33.0,33.0,33,0,2680
1439,8.019703565171518,29.0,33.0,29,0,2684
1440,8.236388589874824,30.0,33.0,30,0,2687
1441,8.193115387361566,29.0,33.0,29,0,2655
1442,8.139861651016584,32.0,33.0,32,0,2676
1443,8.075105618055678,31.0,33.0,31,0,2699
1444,7.632218414082603,30.0,33.0,30,0,2719
1445,7.9257694353595864,32.0,33.0,32,0,2688
1446,8.092074277701512,30.0,33.0,30,0,2696
1447,7.9466274154691945,32.0,33.0,32,0,2681
1448,7.593082324126685,30.0,33.0,30,0,2656
1449,7.906141414690055,33.0,33.0,33,0,2625
1450,7.965341935182133,28.0,33.0,28,0,2605
1451,7.867681084421099,28.0,33.0,28,0,2596
1452,8.26807189044527,28.0,33.0,28,0,2597
1453,8.584831219334395,31.0,33.0,31,0,2567
1454,8.476644189629091,29.0,33.0,29,0,2561
1455,8.295171135599574,31.0,33.0,31,0,2557
1456,8.522621188276366,29.0,33.0,29,0,2569
1457,8.518494490305859,31.0,33.0,31,0,2571
1458,8.553361522844181,31.0,33.0,31,0,2531
1459,8.5846108483944,31.0,33.0,31,0,2549
1460,8.918921495471658,31.0,33.0,31,0,2599
1461,8.647011160879831,33.0,33.0,33,0,2600
1462,8.559051387408529,33.0,33.0,33,0,2604
1463,8.3873989368007,33.0,33.0,33,0,2634
1464,8.2429691844847,33.0,33.0,33,0,2655
1465,8.495000396478918,33.0,33.0,33,0,2624
1466,8.445340006253264,33.0,33.0,33,0,2634
1467,8.213129123487313,33.0,33.0,33,0,2700
1468,8.160923890543748,33.0,33.0,33,0,2696
1469,8.019365647532913,31.0,33.0,31,0,2750
1470,8.218122314545052,32.0,33.0,32,0,2790
1471,7.982958773448154,30.0,33.0,30,0,2764
1472,8.248545240669129,33.0,33.0,33,0,2766
1473,7.877015971466624,33.0,33.0,33,0,2750
1474,7.656734736486994,33.0,33.0,33,0,2749
1475,8.080134490867325,33.0,33.0,33,0,2706
1476,8.016187619350344,33.0,33.0,33,0,2668
1477,8.204571001759888,33.0,33.0,33,0,2648
1478,8.210429463437546,33.0,33.0,33,0,2638
1479,7.997677102571865,33.0,33.0,33,0,2632
1480,7.8493497680045135,33.0,33.0,33,0,2683
1481,8.204816935091559,33.0,33.0,33,0,2669
1482,8.127677950352552,33.0,33.0,33,0,2648
1483,8.183462514804985,33.0,33.0,33,0,2660
1484,7.89796420845291,33.0,33.0,33,0,2681
1485,8.183111854827057,33.0,33.0,33,0,2692
1486,8.113090358866444,33.0,33.0,33,0,2701
1487,7.944179096210104,33.0,33.0,33,0,2721
1488,8.162447721228705,33.0,33.0,33,0,2686
1489,8.713471465875939,33.0,33.0,33,0,2647
1490,8.795546842150085,29.0,33.0,29,0,2625
1491,8.82843500451877,33.0,33.0,33,0,2630
1492,8.661310640540927,32.0,33.0,32,0,2621
1493,8.50526218121651,30.0,33.0,30,0,2589
1494,8.86237243050832,31.0,33.0,31,0,2590
1495,8.963567084183383,33.0,33.0,33,0,2579
1496,8.777902820360646,31.0,33.0,31,0,2582
1497,8.909889192432217,32.0,33.0,32,0,2559
1498,8.645159474465766,32.0,33.0,32,0,2545
1499,9.18850047069717,31.0,33.0,31,0,2555
1500,8.589324586440947,31.0,33.0,31,0,2578
1501,8.750106840639491,31.0,33.0,31,0,2608
1502,8.91967247896322,31.0,33.0,31,0,2600
1503,8.280241325701875,33.0,33.0,33,0,2632
1504,8.479322575391826,33.0,33.0,33,0,2715
1505,8.208912538514882,31.0,33.0,31,0,2685
1506,8.096852944446882,31.0,33.0,31,0,2678
1507,8.061639520322247,31.0,33.0,31,0,2700
1508,7.318234454942487,30.0,33.0,30,0,2664
1509,8.022299847139498,30.0,33.0,30,0,2635
1510,8.077505328800434,33.0,33.0,33,0,2629
1511,7.748287678348401,31.0,33.0,31,0,2646
1512,7.9498080220263905,33.0,33.0,33,0,2690
1513,8.207830763067424,31.0,33.0,31,0,2713
1514,7.843811433439075,33.0,33.0,33,0,2783
1515,7.622923410440091,33.0,33.0,33,0,2817
